ID,Target
hsa-let-7b-5p,ARHGAP17
hsa-let-7b-5p,SDAD1
hsa-let-7b-5p,SETD5
hsa-let-7b-5p,SLC38A7
hsa-let-7b-5p,LSG1
hsa-let-7b-5p,TMEM63B
hsa-let-7b-5p,LGR4
hsa-let-7b-5p,CDV3
hsa-let-7b-5p,SUPT20H
hsa-let-7b-5p,BCAS4
hsa-let-7b-5p,IARS2
hsa-let-7b-5p,SLF2
hsa-let-7b-5p,RALGAPB
hsa-let-7b-5p,MTUS1
hsa-let-7b-5p,RAP2C
hsa-let-7b-5p,ABHD17C
hsa-let-7b-5p,TLNRD1
hsa-let-7b-5p,SPCS3
hsa-let-7b-5p,NSD1
hsa-let-7b-5p,MARCKSL1
hsa-let-7b-5p,PHACTR4
hsa-let-7b-5p,ATG9A
hsa-let-7b-5p,CCDC134
hsa-let-7b-5p,NAA25
hsa-let-7b-5p,SIKE1
hsa-let-7b-5p,NAA50
hsa-let-7b-5p,WDCP
hsa-let-7b-5p,LIMD2
hsa-let-7b-5p,UTP15
hsa-let-7b-5p,GTPBP3
hsa-let-7b-5p,FUT10
hsa-let-7b-5p,TUBA1C
hsa-let-7b-5p,REPS1
hsa-let-7b-5p,ZCCHC3
hsa-let-7b-5p,YTHDC1
hsa-let-7b-5p,NEK9
hsa-let-7b-5p,ZC3HAV1L
hsa-let-7b-5p,SDR42E1
hsa-let-7b-5p,RFFL
hsa-let-7b-5p,GPAT4
hsa-let-7b-5p,CEP120
hsa-let-7b-5p,AGO3
hsa-let-7b-5p,TMEM201
hsa-let-7b-5p,CENPV
hsa-let-7b-5p,UNC13D
hsa-let-7b-5p,PDE12
hsa-let-7b-5p,MMS22L
hsa-let-7b-5p,ZNF841
hsa-let-7b-5p,NBPF15
hsa-let-7c-5p,ACTN4
hsa-let-7c-5p,DUSP7
hsa-let-7c-5p,FLNB
hsa-let-7c-5p,GARS
hsa-let-7c-5p,NR6A1
hsa-let-7c-5p,GTF3C1
hsa-let-7c-5p,IGF1R
hsa-let-7c-5p,ITGB3
hsa-let-7c-5p,JARID2
hsa-let-7c-5p,PRIM2
hsa-let-7c-5p,MAPK6
hsa-let-7c-5p,PTK2
hsa-let-7c-5p,RFC2
hsa-let-7c-5p,RRM1
hsa-let-7c-5p,SAFB
hsa-let-7c-5p,SREBF1
hsa-let-7c-5p,TAF5
hsa-let-7c-5p,VCL
hsa-let-7c-5p,ZNF28
hsa-let-7c-5p,ZNF200
hsa-let-7c-5p,PRRC2A
hsa-let-7c-5p,EIF3A
hsa-let-7c-5p,BZW1
hsa-let-7c-5p,KIAA0391
hsa-let-7c-5p,NUP58
hsa-let-7c-5p,TSC22D2
hsa-let-7c-5p,SNUPN
hsa-let-7c-5p,PCGF3
hsa-let-7c-5p,TGOLN2
hsa-let-7c-5p,PGRMC1
hsa-let-7c-5p,WDR3
hsa-let-7c-5p,CSTF2T
hsa-let-7c-5p,INTS7
hsa-let-7c-5p,FBXW2
hsa-let-7c-5p,DISC1
hsa-let-7c-5p,RAPGEFL1
hsa-let-7c-5p,BCOR
hsa-let-7c-5p,CDKAL1
hsa-let-7c-5p,BSDC1
hsa-let-7c-5p,ETNK2
hsa-let-7c-5p,SLC38A7
hsa-let-7c-5p,CDV3
hsa-let-7c-5p,MTUS1
hsa-let-7c-5p,ABHD17C
hsa-let-7c-5p,TLNRD1
hsa-let-7c-5p,NSD1
hsa-let-7c-5p,MARCKSL1
hsa-let-7c-5p,PHACTR4
hsa-let-7c-5p,ATG9A
hsa-let-7c-5p,LIMD2
hsa-let-7c-5p,FUT10
hsa-let-7c-5p,ZCCHC3
hsa-let-7c-5p,ZC3HAV1L
hsa-let-7c-5p,SDR42E1
hsa-let-7c-5p,GPAT4
hsa-let-7c-5p,CEP120
hsa-let-7c-5p,PDE12
hsa-let-7d-5p,COL3A1
hsa-let-7d-5p,NR6A1
hsa-let-7d-5p,IGF1R
hsa-let-7d-5p,PRIM2
hsa-let-7d-5p,MAPK6
hsa-let-7d-5p,RAD9A
hsa-let-7d-5p,RFC2
hsa-let-7d-5p,RRM1
hsa-let-7d-5p,VCL
hsa-let-7d-5p,ZNF28
hsa-let-7d-5p,ZNF200
hsa-let-7d-5p,BZW1
hsa-let-7d-5p,KIAA0391
hsa-let-7d-5p,TOMM20
hsa-let-7d-5p,TSC22D2
hsa-let-7d-5p,SPATA2
hsa-let-7d-5p,PCGF3
hsa-let-7d-5p,TGOLN2
hsa-let-7d-5p,PGRMC1
hsa-let-7d-5p,ERC1
hsa-let-7d-5p,CIZ1
hsa-let-7d-5p,INTS7
hsa-let-7d-5p,FBXW2
hsa-let-7d-5p,DISC1
hsa-let-7d-5p,CDKAL1
hsa-let-7d-5p,SLC38A7
hsa-let-7d-5p,CDV3
hsa-let-7d-5p,BIN3
hsa-let-7d-5p,RALGAPB
hsa-let-7d-5p,MTUS1
hsa-let-7d-5p,ABHD17C
hsa-let-7d-5p,NSD1
hsa-let-7d-5p,MARCKSL1
hsa-let-7d-5p,PHACTR4
hsa-let-7d-5p,ATG9A
hsa-let-7d-5p,LIMD2
hsa-let-7d-5p,FUT10
hsa-let-7d-5p,ZCCHC3
hsa-let-7d-5p,ZC3HAV1L
hsa-let-7d-5p,SDR42E1
hsa-let-7d-5p,ZNF354B
hsa-let-7d-5p,GPAT4
hsa-let-7d-5p,CEP120
hsa-let-7d-5p,ZNF746
hsa-let-7d-5p,PDE12
hsa-let-7e-5p,RUNX1T1
hsa-let-7e-5p,DHX15
hsa-let-7e-5p,DSP
hsa-let-7e-5p,DTNB
hsa-let-7e-5p,NR6A1
hsa-let-7e-5p,GTF3C1
hsa-let-7e-5p,IGF1R
hsa-let-7e-5p,PHKA1
hsa-let-7e-5p,PRIM2
hsa-let-7e-5p,MAPK6
hsa-let-7e-5p,PTK2
hsa-let-7e-5p,PYCR1
hsa-let-7e-5p,RBBP4
hsa-let-7e-5p,RBM4
hsa-let-7e-5p,RFC2
hsa-let-7e-5p,RPA1
hsa-let-7e-5p,RRM1
hsa-let-7e-5p,SLC12A4
hsa-let-7e-5p,SPTBN1
hsa-let-7e-5p,SQLE
hsa-let-7e-5p,SREBF1
hsa-let-7e-5p,TERF1
hsa-let-7e-5p,TXNRD1
hsa-let-7e-5p,UBE2H
hsa-let-7e-5p,VCL
hsa-let-7e-5p,YWHAG
hsa-let-7e-5p,ZNF28
hsa-let-7e-5p,ZNF200
hsa-let-7e-5p,LUZP1
hsa-let-7e-5p,PRRC2A
hsa-let-7e-5p,STAM
hsa-let-7e-5p,RNMT
hsa-let-7e-5p,AURKB
hsa-let-7e-5p,BZW1
hsa-let-7e-5p,KIAA0391
hsa-let-7e-5p,KIAA0355
hsa-let-7e-5p,TSC22D2
hsa-let-7e-5p,ZNF256
hsa-let-7e-5p,KATNB1
hsa-let-7e-5p,PCGF3
hsa-let-7e-5p,RBM14
hsa-let-7e-5p,TGOLN2
hsa-let-7e-5p,PGRMC1
hsa-let-7e-5p,SCMH1
hsa-let-7e-5p,PACS2
hsa-let-7e-5p,INTS7
hsa-let-7e-5p,FBXW2
hsa-let-7e-5p,AGO2
hsa-let-7e-5p,DISC1
hsa-let-7e-5p,SGSM3
hsa-let-7e-5p,RACGAP1
hsa-let-7e-5p,05-Mar
hsa-let-7e-5p,CDKAL1
hsa-let-7e-5p,ZNF770
hsa-let-7e-5p,BSDC1
hsa-let-7e-5p,SLC38A7
hsa-let-7e-5p,CDV3
hsa-let-7e-5p,ZKSCAN7
hsa-let-7e-5p,MTUS1
hsa-let-7e-5p,NCKAP5L
hsa-let-7e-5p,ABHD17C
hsa-let-7e-5p,SPCS3
hsa-let-7e-5p,NSD1
hsa-let-7e-5p,MARCKSL1
hsa-let-7e-5p,PHACTR4
hsa-let-7e-5p,ATG9A
hsa-let-7e-5p,LIMD2
hsa-let-7e-5p,UTP15
hsa-let-7e-5p,FUT10
hsa-let-7e-5p,ZCCHC3
hsa-let-7e-5p,ANKRD40
hsa-let-7e-5p,ELMSAN1
hsa-let-7e-5p,ZC3HAV1L
hsa-let-7e-5p,SDR42E1
hsa-let-7e-5p,TBC1D31
hsa-let-7e-5p,ZFP3
hsa-let-7e-5p,IRGQ
hsa-let-7e-5p,GPAT4
hsa-let-7e-5p,CEP120
hsa-let-7e-5p,PDE12
hsa-let-7e-5p,SPATA13
hsa-let-7e-5p,ZFP62
hsa-let-7f-5p,EDA
hsa-let-7f-5p,ELF4
hsa-let-7f-5p,GALC
hsa-let-7f-5p,NR6A1
hsa-let-7f-5p,GTF2E1
hsa-let-7f-5p,IGF1R
hsa-let-7f-5p,PRIM2
hsa-let-7f-5p,MAPK6
hsa-let-7f-5p,RFC2
hsa-let-7f-5p,RRM1
hsa-let-7f-5p,SP1
hsa-let-7f-5p,VCL
hsa-let-7f-5p,ZNF28
hsa-let-7f-5p,ZNF200
hsa-let-7f-5p,BZW1
hsa-let-7f-5p,KIAA0391
hsa-let-7f-5p,TSC22D2
hsa-let-7f-5p,PCGF3
hsa-let-7f-5p,TGOLN2
hsa-let-7f-5p,POSTN
hsa-let-7f-5p,PGRMC1
hsa-let-7f-5p,INTS7
hsa-let-7f-5p,FBXW2
hsa-let-7f-5p,DISC1
hsa-let-7f-5p,BCOR
hsa-let-7f-5p,CDKAL1
hsa-let-7f-5p,SLC38A7
hsa-let-7f-5p,CDV3
hsa-let-7f-5p,UBAP2
hsa-let-7f-5p,MTUS1
hsa-let-7f-5p,ABHD17C
hsa-let-7f-5p,NSD1
hsa-let-7f-5p,MARCKSL1
hsa-let-7f-5p,PHACTR4
hsa-let-7f-5p,ATG9A
hsa-let-7f-5p,LIMD2
hsa-let-7f-5p,FUT10
hsa-let-7f-5p,USP45
hsa-let-7f-5p,ZCCHC3
hsa-let-7f-5p,ZC3HAV1L
hsa-let-7f-5p,SDR42E1
hsa-let-7f-5p,GPAT4
hsa-let-7f-5p,CEP120
hsa-let-7f-5p,PDE12
hsa-mir-15a-5p,KIF1A
hsa-mir-15a-5p,BCL2
hsa-mir-15a-5p,BRCA1
hsa-mir-15a-5p,RUNX1T1
hsa-mir-15a-5p,CNN3
hsa-mir-15a-5p,CRKL
hsa-mir-15a-5p,DDX3X
hsa-mir-15a-5p,EFNB2
hsa-mir-15a-5p,NR6A1
hsa-mir-15a-5p,HNRNPA1
hsa-mir-15a-5p,DNAJA1
hsa-mir-15a-5p,IL10RA
hsa-mir-15a-5p,ITPR1
hsa-mir-15a-5p,JARID2
hsa-mir-15a-5p,MSH2
hsa-mir-15a-5p,02-Sep
hsa-mir-15a-5p,PAFAH1B1
hsa-mir-15a-5p,PAK2
hsa-mir-15a-5p,PHKA1
hsa-mir-15a-5p,PMS1
hsa-mir-15a-5p,PRIM1
hsa-mir-15a-5p,MAPK6
hsa-mir-15a-5p,PSKH1
hsa-mir-15a-5p,PTPRD
hsa-mir-15a-5p,PTPRJ
hsa-mir-15a-5p,RAD23B
hsa-mir-15a-5p,NR2C2
hsa-mir-15a-5p,UBE2H
hsa-mir-15a-5p,VAV2
hsa-mir-15a-5p,VCL
hsa-mir-15a-5p,LUZP1
hsa-mir-15a-5p,CSDE1
hsa-mir-15a-5p,MAFK
hsa-mir-15a-5p,CASK
hsa-mir-15a-5p,RNMT
hsa-mir-15a-5p,CCNE2
hsa-mir-15a-5p,UBE4A
hsa-mir-15a-5p,LITAF
hsa-mir-15a-5p,BZW1
hsa-mir-15a-5p,UBE3C
hsa-mir-15a-5p,ARHGAP32
hsa-mir-15a-5p,TSC22D2
hsa-mir-15a-5p,LRIG2
hsa-mir-15a-5p,USP3
hsa-mir-15a-5p,HNRNPDL
hsa-mir-15a-5p,DMTF1
hsa-mir-15a-5p,PDIA6
hsa-mir-15a-5p,IVNS1ABP
hsa-mir-15a-5p,NUP50
hsa-mir-15a-5p,TOB2
hsa-mir-15a-5p,PHLPP2
hsa-mir-15a-5p,TRIM35
hsa-mir-15a-5p,CLCC1
hsa-mir-15a-5p,RCOR1
hsa-mir-15a-5p,SH3BP4
hsa-mir-15a-5p,SZRD1
hsa-mir-15a-5p,AGO2
hsa-mir-15a-5p,PDCD4
hsa-mir-15a-5p,RACGAP1
hsa-mir-15a-5p,SEC61A1
hsa-mir-15a-5p,ANKMY1
hsa-mir-15a-5p,TMEM138
hsa-mir-15a-5p,RAB23
hsa-mir-15a-5p,DNAJC10
hsa-mir-15a-5p,HERC6
hsa-mir-15a-5p,C17orf80
hsa-mir-15a-5p,CDCA4
hsa-mir-15a-5p,PLEKHB2
hsa-mir-15a-5p,TBCCD1
hsa-mir-15a-5p,SLC39A9
hsa-mir-15a-5p,CDV3
hsa-mir-15a-5p,CENPJ
hsa-mir-15a-5p,CYP26B1
hsa-mir-15a-5p,RALGAPB
hsa-mir-15a-5p,ACTR3B
hsa-mir-15a-5p,RAP2C
hsa-mir-15a-5p,RPRD1B
hsa-mir-15a-5p,ZMAT3
hsa-mir-15a-5p,C16orf58
hsa-mir-15a-5p,WNK3
hsa-mir-15a-5p,ATG9A
hsa-mir-15a-5p,YRDC
hsa-mir-15a-5p,ATAD5
hsa-mir-15a-5p,NAA25
hsa-mir-15a-5p,DCAF17
hsa-mir-15a-5p,USP48
hsa-mir-15a-5p,ZCCHC3
hsa-mir-15a-5p,YTHDC1
hsa-mir-15a-5p,SCAMP4
hsa-mir-15a-5p,PWWP2A
hsa-mir-15a-5p,ANKRD13B
hsa-mir-15a-5p,CCDC80
hsa-mir-15a-5p,CAMSAP1
hsa-mir-15a-5p,GPR180
hsa-mir-15a-5p,PRICKLE2
hsa-mir-15a-5p,AGO4
hsa-mir-15a-5p,SCAMP5
hsa-mir-15a-5p,TET3
hsa-mir-16-5p,ABCF1
hsa-mir-16-5p,ACTG1
hsa-mir-16-5p,ACTN4
hsa-mir-16-5p,AP2A1
hsa-mir-16-5p,ATP6V1B2
hsa-mir-16-5p,BCL2
hsa-mir-16-5p,BRCA1
hsa-mir-16-5p,RUNX1T1
hsa-mir-16-5p,CENPF
hsa-mir-16-5p,CNN3
hsa-mir-16-5p,CRKL
hsa-mir-16-5p,DDX3X
hsa-mir-16-5p,DDX6
