ID,Target
KLF6,NOS2
KLF6,NOS2
LMO2,ANGPT2
LMO3,HES1
LYL1,ANGPT2
LYL1,NFKB1
MAZ,HRAS
MBD1,MGMT
MBD2,CHD4
MBD2,GSTP1
MBD2,GSTP1
MECP2,MGMT
MEF2A,COX6A1
MEF2A,PPARGC1A
MEIS2,IL17RB
MEN1,JUND
MITF,FOS
MITF,PPARGC1A
MKL1,SCAI
MLLT10,MDM2
MLLT3,MDM2
MSX2,ABCG2
MTA1,BCL2L1
MTA1,NOS2
MTF1,MCAT
MYB,ICAM1
MYB,SIM2
MYC,PROM1
MYC,CDC34
MYC,DDX18
MYC,HLA-A
MYC,MTDH
MYC,NDRG1
MYC,NDRG1
MYC,SURF2
MYC,TFRC
MYCN,CD44
MYCN,CLU
MYCN,HLA-A
MYCN,MDM2
MYCN,MXI1
MYCN,NDRG1
MYCN,NDRG1
MYCN,NDRG1
NCOA6,FOS
NCOR2,PCK2
NF1,FOS
NF1,GNRH1
NFATC1,ICAM1
NFATC2,MDM2
NFIA,PCK2
NFIC,ALAS1
NFIC,GFAP
NFIC,IRS2
NFIC,POLD2
NFIC,VWF
NFIL3,TNFSF10
NFIL3,VWF
NFKB1,ABCG2
NFKB1,ADORA1
NFKB1,BCL2L1
NFKB1,BCL2L1
NFKB1,BCL2L1
NFKB1,BIRC2
NFKB1,BIRC2
NFKB1,BIRC2
NFKB1,CD83
NFKB1,CD83
NFKB1,CREB3
NFKB1,FOXO3
NFKB1,GADD45G
NFKB1,GFAP
NFKB1,GFAP
NFKB1,GSTP1
NFKB1,HES1
NFKB1,ICAM1
NFKB1,ICAM1
NFKB1,LTC4S
NFKB1,MGMT
NFKB1,NAMPT
NFKB1,NCOR1
NFKB1,NFKB1
NFKB1,NOS2
NFKB1,NOS2
NFKB1,RIPK2
NFKB1,RRM2B
NFKB1,SQSTM1
NFKB1,TNFSF10
NFKB1,TNFSF10
NFKB1,TNFSF10
NFKB1,TRAF2
NFKB1,TRAF2
NFKB1,TRAF2
NFKB1,TRIM21
NFKB1,VWF
NFKB1,XIAP
NFKB1,XIAP
NFKB1,XIAP
NFKB1,YY1
NFKB1,YY1
NFKB2,CCL21
NFKBIA,ICAM1
NFKBIA,NFKB1
NFKBIA,NFKB1
NFKBIA,NFKB1
NFKBIA,NOS2
NFKBIA,PON2
NFKBIA,TNFSF10
NFYA,FXR2
NFYB,FOS
NFYB,FXR2
NFYC,FOS
NFYC,FXR2
NHLH2,HES1
NHLH2,MAOA
NKX2-2,NPPA
NKX3-1,FOS
NOTCH3,HES1
NPAS2,CRY2
NPM1,MDM2
NR0B2,PCK2
NR0B2,PCK2
NR1H4,ABCC4
NR1H4,NFKB1
NR1I2,BCL2L1
NR1I2,KLF6
NR1I2,NFKB1
NR2F2,PPARA
NR3C1,MAOA
NR3C1,NFKB1
NR4A1,MDM2
NR5A1,STARD7
NRF1,CAPNS1
NRF1,COX6A1
NRF1,FXR2
NRF1,SNRPN
NUPR1,BCL2L1
OTX2,CCNG2
PARP1,NFKB1
PAX3,BCL2L1
PAX5,PRDM1
PAX5,XBP1
PER1,SLC5A1
PGR,ABCG2
PGR,IRS2
PGR,PLD1
PHOX2B,MSX1
PIR,NFKB1
PITX1,GNRH1
PITX1,HES1
PITX1,IRF2
PITX2,GNRH1
PML,TNFSF10
POU2F1,GNRH1
POU2F1,HIST2H2BE
POU2F1,RRM2B
POU2F1,VWF
POU2F1,VWF
POU2F2,SPI1
POU3F1,GNRH1
POU3F2,FOXP2
POU3F2,GNRH1
POU4F1,HSP90AA1
POU4F2,HSP90AA1
POU5F1,ITGA6
PPARA,ACSL1
PPARA,SLC25A20
PPARG,ABCG2
PPARG,BCL2L1
PPARG,CD83
PPARG,ERP44
PPARG,ERP44
PPARG,GK
PPARG,ICAM1
PPARG,KLF4
PPARGC1A,PCK2
PTTG1,ID3
RARA,ICAM1
RARB,ADH5
RARG,ICAM1
RB1,FOS
RB1,FOS
RBMX,FOS
RBMX,JUND
RBPJ,NFKB1
REL,ICAM1
RELA,ABCG2
RELA,ADORA1
RELA,BCL2L1
RELA,BCL2L1
RELA,BCL2L1
RELA,BIRC2
RELA,BIRC2
RELA,BIRC2
RELA,CD83
RELA,CREB3
RELA,EPAS1
RELA,FOXO3
RELA,GADD45G
RELA,GFAP
RELA,GFAP
RELA,GSTP1
RELA,HES1
RELA,HLA-A
RELA,ICAM1
RELA,ICAM1
RELA,LTC4S
RELA,MGMT
RELA,NAMPT
RELA,NCOR1
RELA,NFKB1
RELA,NFKB1
RELA,NOS2
RELA,NOS2
RELA,PCK2
RELA,PPARA
RELA,RIPK2
RELA,TNFSF10
RELA,TNFSF10
RELA,TNFSF10
RELA,TRAF2
RELA,TRAF2
RELA,TRAF2
RELA,TRIB3
RELA,TRIM21
RELA,VWF
RELA,XIAP
RELA,XIAP
RELA,XIAP
RELA,YY1
RELA,YY1
RELB,CCL21
REST,DYRK1A
RORA,NR1D1
RUNX1,ITGA2B
RUNX1,KLF4
RUNX1,NFKB1
RUNX1,SPI1
RUNX3,HES1
RUNX3,TRAF6
RXRA,PLD1
SALL3,HDAC9
SALL4A,ABCG2
SATB1,SPI1
SIRT1,FOXO3
SIRT1,HIC1
SIRT1,ICAM1
SIRT1,NDRG1
SIRT3,FOXO3
SKI,MDM2
SMAD3,ZFP36
SMAD4,ZFP36
SMARCA1,CD44
SMARCA4,ABCG2
SMARCA4,CD44
SMARCA4,FOS
SMARCB1,CD44
SNAI2,CD44
SNW1,HES1
SOX2,ITGA6
SOX9,HES1
SOX9,KLF4
SP1,ABCG2
SP1,APLNR
SP1,APOE
SP1,C1QBP
SP1,PROM1
SP1,CD44
