ID,Target
hsa-let-7b-5p,OXR1
hsa-let-7b-5p,TMEM33
hsa-let-7b-5p,ARL8B
hsa-let-7b-5p,YOD1
hsa-let-7b-5p,KIF27
hsa-let-7b-5p,RIOK2
hsa-let-7b-5p,DDX28
hsa-let-7b-5p,C5orf15
hsa-let-7b-5p,PITHD1
hsa-let-7b-5p,KIAA1143
hsa-let-7b-5p,KIAA1328
hsa-let-7b-5p,TRAPPC1
hsa-let-7b-5p,DNAJC1
hsa-let-7b-5p,TBC1D15
hsa-let-7b-5p,ELOVL1
hsa-let-7b-5p,TUT1
hsa-let-7b-5p,AIDA
hsa-let-7b-5p,MRPS11
hsa-let-7b-5p,PDCL3
hsa-let-7b-5p,DCTPP1
hsa-let-7b-5p,ZNF426
hsa-let-7b-5p,EFHD2
hsa-let-7b-5p,WDR25
hsa-let-7b-5p,ZFHX4
hsa-let-7b-5p,PTGES2
hsa-let-7b-5p,PAAF1
hsa-let-7b-5p,TRABD
hsa-let-7b-5p,CPEB4
hsa-let-7b-5p,SLC38A1
hsa-let-7b-5p,RCC1L
hsa-let-7b-5p,C6orf62
hsa-let-7b-5p,TOMM40L
hsa-let-7b-5p,ZCCHC9
hsa-let-7b-5p,MIEN1
hsa-let-7b-5p,ZBTB37
hsa-let-7b-5p,FAM126A
hsa-let-7b-5p,FAM136A
hsa-let-7b-5p,ZNF566
hsa-let-7b-5p,L3MBTL4
hsa-let-7b-5p,TIMM50
hsa-let-7b-5p,IGSF8
hsa-let-7b-5p,PIGU
hsa-let-7b-5p,NUP35
hsa-let-7b-5p,FAM131A
hsa-let-7b-5p,CCNY
hsa-let-7b-5p,AFG1L
hsa-let-7b-5p,RNF144B
hsa-let-7b-5p,ZBTB8OS
hsa-let-7b-5p,IRF2BP2
hsa-let-7b-5p,TIMM23
hsa-let-7c-5p,ADH5
hsa-let-7c-5p,BCL2L1
hsa-let-7c-5p,CCNC
hsa-let-7c-5p,CCNG1
hsa-let-7c-5p,CHD1
hsa-let-7c-5p,AP1S1
hsa-let-7c-5p,COL8A1
hsa-let-7c-5p,CREM
hsa-let-7c-5p,CRY2
hsa-let-7c-5p,BPTF
hsa-let-7c-5p,FOXO3
hsa-let-7c-5p,FMO4
hsa-let-7c-5p,FXN
hsa-let-7c-5p,GLO1
hsa-let-7c-5p,GPS1
hsa-let-7c-5p,LTA4H
hsa-let-7c-5p,NAP1L1
hsa-let-7c-5p,PLCG2
hsa-let-7c-5p,QDPR
hsa-let-7c-5p,STRN
hsa-let-7c-5p,TAZ
hsa-let-7c-5p,TGFBR3
hsa-let-7c-5p,TTF1
hsa-let-7c-5p,XBP1
hsa-let-7c-5p,CDC42BPA
hsa-let-7c-5p,MBTPS1
hsa-let-7c-5p,DDX18
hsa-let-7c-5p,ATG12
hsa-let-7c-5p,SLK
hsa-let-7c-5p,PRAF2
hsa-let-7c-5p,ACOT9
hsa-let-7c-5p,ARMC8
hsa-let-7c-5p,ANKRD17
hsa-let-7c-5p,CHTOP
hsa-let-7c-5p,POLL
hsa-let-7c-5p,PLEKHO1
hsa-let-7c-5p,THEM6
hsa-let-7c-5p,ZNF581
hsa-let-7c-5p,C9orf40
hsa-let-7c-5p,ARL8B
hsa-let-7c-5p,YOD1
hsa-let-7c-5p,KIF27
hsa-let-7c-5p,KIAA1143
hsa-let-7c-5p,KIAA1328
hsa-let-7c-5p,TUT1
hsa-let-7c-5p,AIDA
hsa-let-7c-5p,EFHD2
hsa-let-7c-5p,PTGES2
hsa-let-7c-5p,TOMM40L
hsa-let-7c-5p,ZBTB37
hsa-let-7c-5p,ZNF566
hsa-let-7c-5p,RICTOR
hsa-let-7c-5p,RNF144B
hsa-let-7c-5p,ZBTB8OS
hsa-let-7c-5p,IRF2BP2
hsa-let-7d-5p,ADH5
hsa-let-7d-5p,AP1S1
hsa-let-7d-5p,COL8A1
hsa-let-7d-5p,CRY2
hsa-let-7d-5p,DSC3
hsa-let-7d-5p,FMO4
hsa-let-7d-5p,FXN
hsa-let-7d-5p,GLO1
hsa-let-7d-5p,NAP1L1
hsa-let-7d-5p,PDGFA
hsa-let-7d-5p,PLCG2
hsa-let-7d-5p,QDPR
hsa-let-7d-5p,STRN
hsa-let-7d-5p,TGFBR3
hsa-let-7d-5p,GPR137B
hsa-let-7d-5p,ATG12
hsa-let-7d-5p,ACOT9
hsa-let-7d-5p,CHTOP
hsa-let-7d-5p,FBXO3
hsa-let-7d-5p,POLL
hsa-let-7d-5p,GOLT1B
hsa-let-7d-5p,PLEKHO1
hsa-let-7d-5p,THEM6
hsa-let-7d-5p,PRR13
hsa-let-7d-5p,ARL8B
hsa-let-7d-5p,YOD1
hsa-let-7d-5p,KIF27
hsa-let-7d-5p,KIAA1143
hsa-let-7d-5p,KIAA1328
hsa-let-7d-5p,EFHD2
hsa-let-7d-5p,TOMM40L
hsa-let-7d-5p,ZBTB37
hsa-let-7d-5p,ZNF566
hsa-let-7d-5p,RNF144B
hsa-let-7d-5p,ZBTB8OS
hsa-let-7e-5p,ADH5
hsa-let-7e-5p,XIAP
hsa-let-7e-5p,CCNG1
hsa-let-7e-5p,CDC5L
hsa-let-7e-5p,AP1S1
hsa-let-7e-5p,COL8A1
hsa-let-7e-5p,CRY2
hsa-let-7e-5p,FMO4
hsa-let-7e-5p,FXN
hsa-let-7e-5p,GLO1
hsa-let-7e-5p,NAP1L1
hsa-let-7e-5p,PCBP2
hsa-let-7e-5p,PLCG2
hsa-let-7e-5p,PPP1R2
hsa-let-7e-5p,PPP2R1A
hsa-let-7e-5p,QDPR
hsa-let-7e-5p,RAP1A
hsa-let-7e-5p,STRN
hsa-let-7e-5p,VAMP2
hsa-let-7e-5p,TGFBR3
hsa-let-7e-5p,CNBP
hsa-let-7e-5p,ZFAND5
hsa-let-7e-5p,DYRK2
hsa-let-7e-5p,IRS2
hsa-let-7e-5p,EIF3J
hsa-let-7e-5p,ATG12
hsa-let-7e-5p,CELF2
hsa-let-7e-5p,PIGN
hsa-let-7e-5p,ACOT9
hsa-let-7e-5p,NOCT
hsa-let-7e-5p,ZNF451
hsa-let-7e-5p,CHTOP
hsa-let-7e-5p,POLL
hsa-let-7e-5p,GTPBP8
hsa-let-7e-5p,CCDC106
hsa-let-7e-5p,PLEKHO1
hsa-let-7e-5p,THEM6
hsa-let-7e-5p,ARL8B
hsa-let-7e-5p,YOD1
hsa-let-7e-5p,KIF27
hsa-let-7e-5p,USE1
hsa-let-7e-5p,STARD7
hsa-let-7e-5p,KIAA1143
hsa-let-7e-5p,KIAA1328
hsa-let-7e-5p,MTMR14
hsa-let-7e-5p,EFHD2
hsa-let-7e-5p,CHD9
hsa-let-7e-5p,RCC1L
hsa-let-7e-5p,TOMM40L
hsa-let-7e-5p,TMEM107
hsa-let-7e-5p,ZBTB37
hsa-let-7e-5p,ZNF566
hsa-let-7e-5p,TIMM50
hsa-let-7e-5p,JMJD1C
hsa-let-7e-5p,UBN2
hsa-let-7e-5p,NUDT8
