"","logFC","pvalue","padj"
"TTN",0.149740982695333,1.96418208427861e-30,1.91170617486281e-28
"COL1A2",-0.00938478522146887,0.566244466934825,0.631085313430523
"TNNI1",0.156773888515135,3.43373518168012e-13,3.9913346024485e-12
"ACTN2",0.0227332559905735,0.0518314426337621,0.0776459539202304
"GAPDH",0.0136811192355832,0.222919862400012,0.284029000138819
"NPPA",0.0871866354480895,0.0250298493259083,0.0403238831441516
"GNAS",0.0308825081963649,0.00140604417178909,0.00294911998849684
"COL4A2",-0.0191752621940196,0.136282967219855,0.184818806122631
"ATP2A2",0.0196366058016337,0.15131197349521,0.202629711297313
"ATP5F1B",0.0188026861222438,0.0120940767694588,0.0209832312394947
"PKM",-0.0122662821141577,0.169403231424808,0.223483405244016
"ACTB",-0.0145535328916933,0.277967517244763,0.343625816104853
"MT-ND3",0.208373418773804,2.10037726430091e-14,3.00692868068194e-13
"HNRNPA2B1",-0.045988166116615,9.0670344692177e-12,8.36887923195593e-11
"ANKRD1",-0.0293057063881999,0.236415764242296,0.29877271291163
"SRRM2",-0.125614904410408,2.25195218457402e-11,1.94374324230406e-10
"ACTG1",-0.040708339619675,0.000119359238078,0.000303269663552167
"LDB3",0.0134713669085384,0.370001547081032,0.44028833732033
"NEBL",0.0491860025436628,0.000247243287667612,0.000595704222752816
"TGM2",-0.0623021782266976,1.15183088448094e-06,4.21971303241584e-06
"TPT1",0.144603190608572,3.1026589990891e-13,3.63892793760072e-12
"RPL8",0.106677750387398,1.00126638573705e-06,3.71085996100672e-06
"VIM",0.0954037760119872,8.83961038177099e-07,3.30901832947926e-06
"SLC8A1",-0.00670842250464807,0.696451506930834,0.748704224024157
"FLNA",-0.088542328472439,1.74560450367469e-07,7.55974441679485e-07
"PLN",0.197445164571109,4.25742260677493e-26,2.77626528187793e-24
"SMYD1",-0.0205562419639767,0.126500115325601,0.173063516634479
"MYOM1",0.00154814744151735,0.875635680203975,0.900634112083616
"FLNC",-0.0844795703580478,3.83981094065016e-08,1.88395005331065e-07
"ATP5F1A",0.0321709100793893,6.44114657417279e-06,2.0696091061927e-05
