"","logFC","pvalue","padj","piValue","rank"
"LINC02604",-0.115399425440152,1.49596137164326e-06,5.36292694034398e-06,-5.27059811943104,-231
"BORA",-0.115744870442369,1.44091924477405e-06,5.17984255522138e-06,-5.28568344072537,-230
"TRAPPC10",-0.157980920365923,1.35979052088263e-06,4.92075137995319e-06,-5.30796857705941,-229
"TMEM268",-0.103747847602434,1.33546114618766e-06,4.84211405854307e-06,-5.31496498473888,-228
"SLFN13",-0.114116136312031,1.30393803298957e-06,4.73176400285198e-06,-5.32497692397965,-227
"IGDCC3",-0.109348685372745,1.255576850276e-06,4.57025768386816e-06,-5.34005931250629,-226
"MCM2",-0.123829928945753,1.22366862088373e-06,4.46657882831392e-06,-5.35002499697135,-225
"MMP25-AS1",-0.103158048725569,1.09990164298436e-06,4.03627384012436e-06,-5.39401937682052,-224
"MAN2A2",-0.111259751537363,1.06633330361198e-06,3.93189678985224e-06,-5.40539789068373,-223
"UCKL1-AS1",-0.169853991404655,1.05213992770245e-06,3.88615376298366e-06,-5.41048001971817,-222
"BMP8A",-0.114267730596205,9.24958935947859e-07,3.45257997785689e-06,-5.46185625234684,-221
"AC098484.4",-0.126965538818186,6.74362969741113e-07,2.57390747771835e-06,-5.58940706840232,-220
"UBE2V1",-0.126093348624916,6.43561831189003e-07,2.4650024676555e-06,-5.60818264162463,-219
"NID2",-0.171643396082595,5.91181934167696e-07,2.28585674041361e-06,-5.64095099126245,-218
"ZNF702P",-0.136437560479594,5.86391177243203e-07,2.27069885202074e-06,-5.64384045960587,-217
"EVC",-0.144233610013291,5.83400500503475e-07,2.26046028745286e-06,-5.64580311839814,-216
"CNTNAP1",-0.106166157940206,5.71281372304251e-07,2.21811600404646e-06,-5.65401574466123,-215
"RUBCN",-0.145081518024737,5.64482900814516e-07,2.1949868790766e-06,-5.6585680714864,-214
"VGLL4",-0.116777952326267,5.56131183120777e-07,2.16573988959724e-06,-5.66439370435704,-213
"CDON",-0.152752771401878,5.44566984579221e-07,2.12324143882876e-06,-5.67300061836856,-212
"SLITRK4",-0.100198583782014,5.21117745684013e-07,2.04157934491165e-06,-5.69003373678547,-211
"CAP1",-0.137773864722195,4.76639312134829e-07,1.88716754974573e-06,-5.72418953984582,-210
"LRRC4C",-0.109711383884741,4.74248247265294e-07,1.87998347745713e-06,-5.72584596758777,-209
"NYAP1",-0.104717650857141,4.60031372201229e-07,1.82840975747439e-06,-5.73792646972466,-208
"BCL11B",-0.111879287138002,4.60116609724809e-07,1.82840975747439e-06,-5.73792646972466,-207
"EPN2",-0.140443964587456,4.57875721897509e-07,1.82116961420778e-06,-5.73964960440601,-206
"PI4KAP2",-0.129385523989522,4.3321435203588e-07,1.73206056997301e-06,-5.7614369248215,-205
"DHFR",-0.105334089996825,4.07441517015907e-07,1.63704629233563e-06,-5.78593903945082,-204
"AC145098.2",-0.109686658820095,3.98350850187952e-07,1.6044755367978e-06,-5.794666900142,-203
"ARHGAP23",-0.157811008105712,3.77089735661566e-07,1.52685635904941e-06,-5.81620181782667,-202
"ZNF670",-0.103621499359646,3.75558256630113e-07,1.52160011897171e-06,-5.8176994664498,-201
"AF131215.6",-0.10404900908958,3.68412687296447e-07,1.49497145853151e-06,-5.82536709865768,-200
"NBPF9",-0.115874409519503,3.47480625368226e-07,1.41797319025419e-06,-5.8483319803199,-199
"OAS3",-0.118330452256311,3.26412638406006e-07,1.33828155614308e-06,-5.87345250733386,-198
"AC005519.1",-0.111053798759894,3.25582548553169e-07,1.33571802397938e-06,-5.87428521368298,-197
"YPEL4",-0.106700153719561,3.05516281871542e-07,1.26133059454531e-06,-5.89917106999346,-196
"DCHS1",-0.140234549283721,3.00478813113198e-07,1.24171250970289e-06,-5.90597894353322,-195
"DNAJC9",-0.101858844827377,2.97487026157791e-07,1.23129983978099e-06,-5.90963617703948,-194
"AC007191.1",-0.138669222296559,2.77561311778174e-07,1.1543222666489e-06,-5.93767292680551,-193
"TBC1D2B",-0.125001817977401,2.51730732913057e-07,1.05565023107784e-06,-5.976479952896,-192
"GPC6",-0.101605993350509,2.48971890720732e-07,1.04441666091341e-06,-5.98112620877073,-191
"AC008969.1",-0.121840314103055,2.24407538272728e-07,9.50543395307866e-07,-6.02202805143132,-190
"TAF4",-0.139042800567115,2.20210788669453e-07,9.33676562362487e-07,-6.0298035429436,-189
"CDCA7L",-0.126570632993238,2.19099899759955e-07,9.29890293015687e-07,-6.03156828579913,-188
"DAAM2",-0.121937040147987,2.18987359592605e-07,9.29890293015687e-07,-6.03156828579913,-187
"RIPOR3",-0.11698465018589,2.18241661341406e-07,9.27438171135423e-07,-6.03271503355092,-186
"MYO19",-0.132726178652658,1.93000248938929e-07,8.28541555846449e-07,-6.08168570447795,-185
"BTBD19",-0.104934633667902,1.74589404871846e-07,7.55974441679485e-07,-6.12149288707181,-184
"TBX18",-0.110415035680973,1.71999595529094e-07,7.4649541593692e-07,-6.12697285483703,-183
"NT5C2",-0.187116448795391,1.71857169565207e-07,7.46125567732835e-07,-6.12718807764204,-182
"ATRNL1",-0.108704719554932,1.61133910174644e-07,7.01906632096763e-07,-6.15372065405535,-181
"UVSSA",-0.144184334360818,1.5612058214182e-07,6.81662079776907e-07,-6.16643086472488,-180
"AC015813.6",-0.102610623414099,1.54112337591175e-07,6.73344424410087e-07,-6.17176273167834,-179
"TBC1D14",-0.176986713664816,1.53478743725714e-07,6.71096227667001e-07,-6.17321520241156,-178
"MLLT6",-0.165551320877451,1.53303598257366e-07,6.70934741098178e-07,-6.17331971971065,-177
