ID,Accession,Target,TargetID,Experiment,Literature,Tissue
E2F4,1874,HCFC1,3054,+,14532282,Not Applicable
E2F4,1874,MCM10,55388,-,15195143,Not Applicable
E2F4,1874,PLK1,5347,-,17981789,Not Applicable
E2F6,1876,APAF1,317,-,17600109,Not Applicable
E2F8,79733,CCND1,595,Unknown,20068156,Not Applicable
EGR1,1958,CACNA1H,8912,Unknown,22431737,Not Applicable
EGR1,1958,CCND1,595,+,11502738,Not Applicable
EGR1,1958,CCND1,595,Unknown,20590664,Not Applicable
EGR1,1958,EP300,2033,+,18798221;20414733,Not Applicable
EGR1,1958,EP300,2033,Unknown,15635605,Not Applicable
EGR1,1958,FN1,2335,+,15608673;9933644,Not Applicable
EGR1,1958,FN1,2335,Unknown,10783396,Not Applicable
EGR1,1958,TFPI2,7980,Unknown,12757776,Not Applicable
ELF1,1997,TEK,7010,+,19674970,Not Applicable
ELF2,1998,TEK,7010,+,10347098,Not Applicable
ELK1,2002,TNFRSF10B,8795,+,21044953,Not Applicable
ELK3,2004,MYH6,4624,-,12933792,Not Applicable
ENO1,2023,MYCN,4613,Unknown,15382088,Not Applicable
EP300,2033,CCND1,595,Unknown,20101207,Not Applicable
EP300,2033,CCNE1,898,+,12414652,Not Applicable
EP300,2033,DNMT1,1786,+,19275888,Not Applicable
EP300,2033,VCAM1,7412,+,19281832,Not Applicable
EP300,2033,WT1,7490,+,15752709;18064385,Not Applicable
ERG,2078,ENG,2022,+,22235125,Not Applicable
ERG,2078,ENG,2022,Unknown,19359602,Not Applicable
ERG,2078,WNT11,7481,+,21242973,Not Applicable
ESR1,2099,BLM,641,+,17268063,Not Applicable
ESR1,2099,CCND1,595,+,12554765;15178330;17681750,Not Applicable
ESR1,2099,CCND1,595,Unknown,12929585;22892083,Not Applicable
ESR1,2099,GREB1,9687,+,17666587,Not Applicable
ESR1,2099,GREB1,9687,Unknown,21984905,Not Applicable
ESR1,2099,SERPINB9,5272,Unknown,11682627,Not Applicable
ESR1,2099,TYMS,7298,Unknown,10875244,Not Applicable
ESRRA,2101,NR2F1,7025,-,15955695,Not Applicable
ETS1,2113,BMP4,652,+,15695386,Not Applicable
ETS1,2113,ECE1,1889,+,11723240;9595399,Not Applicable
ETS1,2113,TNC,3371,+,15001984,Not Applicable
ETS1,2113,TNC,3371,Unknown,10618716,Not Applicable
ETS1,2113,WT1,7490,+,18064385,Not Applicable
ETS2,2114,TNC,3371,Unknown,10618716,Not Applicable
EZH2,2146,CCND1,595,+,20132185;21697275,Not Applicable
EZH2,2146,CCNE1,898,+,20132185,Not Applicable
EZH2,2146,FOXC1,2296,-,21465172,Not Applicable
FHL2,2274,CCND1,595,-,21377781,Not Applicable
FLI1,2313,EP300,2033,Unknown,24058639,Not Applicable
FLI1,2313,FOXM1,2305,+,23365673,Not Applicable
FOS,2353,CCND1,595,-,20188076;21474819,Not Applicable
FOXA2,3170,COL18A1,80781,Unknown,11093745,Not Applicable
FOXL1,2300,BMP4,652,+,17873379,Not Applicable
FOXM1,2305,BRIP1,83990,Unknown,23108394,Not Applicable
FOXM1,2305,CDC25A,993,Unknown,23240008,Not Applicable
FOXO3,2309,FOXM1,2305,-,19276163,Not Applicable
GATA1,2623,TAL1,6886,Unknown,8058326,Not Applicable
GATA1,2623,WT1,7490,+,19212333,Not Applicable
GATA1,2623,WT1,7490,Unknown,10360378,Not Applicable
GATA2,2624,NOS3,4846,+,10713142,Not Applicable
GATA2,2624,WT1,7490,+,19212333,Not Applicable
GATA3,2625,CDH3,1001,-,22120723,Not Applicable
GATA3,2625,FOXC1,2296,-,22120723,Not Applicable
GATA3,2625,TEK,7010,+,19674970,Not Applicable
GATA4,2626,NOS3,4846,+,14555463,Not Applicable
GLI1,2735,TNFRSF10B,8795,-,21135115,Not Applicable
GLI2,2736,TNFRSF10B,8795,-,21135115,Not Applicable
HBP1,26959,DNMT1,1786,-,23249948,Not Applicable
HDAC1,3065,CCND1,595,+,20049841,Not Applicable
HDAC1,3065,CCND1,595,-,20821348,Not Applicable
HDAC1,3065,DNMT1,1786,Unknown,23242655,Not Applicable
HDAC1,3065,NOS3,4846,Unknown,22848708,Not Applicable
HDAC1,3065,RECK,8434,+,20442303,Not Applicable
HDAC1,3065,RECK,8434,-,20442303,Not Applicable
HDAC1,3065,RECK,8434,Unknown,16377629,Not Applicable
HDAC1,3065,RELN,5649,-,19029285,Not Applicable
HDAC2,3066,APAF1,317,-,18834886,Not Applicable
HDAC2,3066,CAD,790,Unknown,14559996,Not Applicable
HDAC2,3066,CCNE1,898,-,22214847,Not Applicable
HDAC2,3066,DNMT1,1786,-,22328086,Not Applicable
HDAC2,3066,MYCN,4613,Unknown,15382088,Not Applicable
HDAC3,8841,GTF2I,2969,Unknown,21549311,Not Applicable
HDAC3,8841,LSS,4047,Unknown,17925399,Not Applicable
HDAC4,9759,RECK,8434,Unknown,22781396,Not Applicable
HDAC4,9759,VCAM1,7412,+,19281832,Not Applicable
HDAC4,9759,WT1,7490,-,18064385,Not Applicable
HDAC5,10014,SLIT2,9353,-,19351956,Not Applicable
HDAC5,10014,WT1,7490,-,18064385,Not Applicable
HDAC9,9734,TNFRSF10B,8795,-,15964798,Not Applicable
HEXIM1,10614,CCND1,595,-,18757415,Not Applicable
HEY1,23462,BMP2,650,-,21945409,Not Applicable
HIC1,3090,EPHA2,1969,-,22184117,Not Applicable
HIC1,3090,LRP8,7804,-,24076391,Not Applicable
HIF1A,3091,CCND1,595,-,20179204,Not Applicable
HIF1A,3091,E2F3,1871,+,20308562,Not Applicable
HIF1A,3091,NT5E,4907,+,12370277,Not Applicable
HIF1A,3091,PFKFB3,5209,Unknown,16025159,Not Applicable
HIF1A,3091,PFKFB4,5210,Unknown,16311927,Not Applicable
HIF1A,3091,RECK,8434,-,20442303,Not Applicable
HIF1A,3091,WASF3,10810,+,22581642,Not Applicable
HIF1A,3091,XPC,7508,+,19934262,Not Applicable
HLTF,6596,HERC2,8924,Unknown,22234890,Not Applicable
HMGA1,3159,CDC25A,993,+,22249617,Not Applicable
HMGA2,8091,IGF2BP2,10644,Unknown,17426251;22513850,Not Applicable
HNF1A,6927,CSRP1,1465,Unknown,18292576,Not Applicable
HNF1A,6927,NT5E,4907,Unknown,10428853,Not Applicable
HOXA1,3198,CCND1,595,+,15665309,Not Applicable
HOXA10,3206,MYCN,4613,-,21261500,Not Applicable
HOXA10,3206,WT1,7490,Unknown,19017365,Not Applicable
HOXA9,3205,CDH3,1001,Unknown,25023983,Not Applicable
HOXA9,3205,MYCN,4613,+,21261500,Not Applicable
HOXA9,3205,VCAM1,7412,Unknown,22269951,Not Applicable
HOXB7,3217,CCND1,595,+,21474578,Not Applicable
HOXB7,3217,DAPK1,1612,-,17540169,Not Applicable
HOXB7,3217,WNT5A,7474,+,21183939,Not Applicable
HOXD3,3232,ITGA5,3678,Unknown,14610084,Not Applicable
IFI16,3428,WT1,7490,+,18231640,Not Applicable
IKBKB,3551,VCAM1,7412,-,18600306,Not Applicable
ING4,51147,ANGPT1,284,-,20707719,Not Applicable
ING4,51147,CCND1,595,-,18399550,Not Applicable
IRF1,3659,CCNE1,898,-,22200613,Not Applicable
IRF1,3659,VCAM1,7412,Unknown,15265939;22182512,Not Applicable
