ID,Accession,Target,TargetID,Experiment,Literature,Tissue
ELK1,2002,PDGFB,5155,Unknown,9690620,Not Applicable
ELK4,2005,FOS,2353,+,9734357,Not Applicable
ELK4,2005,FOS,2353,Unknown,11846562,Not Applicable
EP300,2033,MGMT,4255,Unknown,22675172,Not Applicable
EP300,2033,S100A4,6275,Unknown,17143014,Not Applicable
ERCC2,2068,LAMTOR5,10542,-,22387547,Not Applicable
ERG,2078,FGF2,2247,-,12137767,Not Applicable
ERG,2078,SOX4,6659,Unknown,24435928,Not Applicable
ESR1,2099,AHR,196,Unknown,10620335,Not Applicable
ESR1,2099,CEBPB,1051,Unknown,19652226,Not Applicable
ESR1,2099,CTSD,1509,Unknown,10037443;19569049,Not Applicable
ESR1,2099,FOS,2353,Unknown,10037443,Not Applicable
ESR1,2099,HSPB1,3315,+,10960840,Not Applicable
ESR1,2099,JAK2,3717,Unknown,19876927,Not Applicable
ESR1,2099,JUNB,3726,+,11477071,Not Applicable
ESR1,2099,NQO1,1728,-,20623181,Not Applicable
ESR2,2100,CTSD,1509,Unknown,10037443,Not Applicable
ESR2,2100,FOS,2353,Unknown,10037443,Not Applicable
ESRRA,2101,AHR,196,Unknown,10620335,Not Applicable
ETS1,2113,F13A1,2162,Unknown,10037697,Not Applicable
ETS1,2113,RHOC,389,+,21732343,Not Applicable
ETS1,2113,TBXA2R,6915,+,18698092,Not Applicable
EZH2,2146,FBXO32,114907,-,21546904,Not Applicable
EZH2,2146,FBXO32,114907,Unknown,24213577,Not Applicable
EZH2,2146,PEBP1,5037,-,22505648,Not Applicable
FOS,2353,ACTA1,58,Unknown,1460048,Not Applicable
FOS,2353,DDIT3,1649,+,20188076,Not Applicable
FOS,2353,FOS,2353,-,2498646,Not Applicable
FOS,2353,NQO1,1728,Unknown,8004128,Not Applicable
FOXA2,3170,APOA1,335,Unknown,7961760,Not Applicable
FOXF2,2295,MT1E,4493,-,19562724,Not Applicable
FOXM1,2305,VEGFB,7423,Unknown,21860419,Not Applicable
FOXO1,2308,KLF2,10365,Unknown,23002242,Not Applicable
FOXO1,2308,PDGFB,5155,Unknown,19244250,Not Applicable
FOXO3,2309,VEGFB,7423,Unknown,21860419,Not Applicable
FOXP3,50943,ZNF205,7755,Unknown,22306510,Not Applicable
FUS,2521,DDIT3,1649,+,11162437,Not Applicable
GABPA,2551,ZNF205,7755,Unknown,22306510,Not Applicable
GATA1,2623,BST2,684,+,16249385,Not Applicable
GATA1,2623,F13A1,2162,Unknown,10037697,Not Applicable
GATA1,2623,HBA1,3039,Unknown,12609092;20564185,Not Applicable
GATA1,2623,HBB,3043,Unknown,15833715;20564185,Not Applicable
GATA1,2623,TBXA2R,6915,+,18698092,Not Applicable
GATA6,2627,APOA1,335,Unknown,14659877,Not Applicable
GATA6,2627,CAV1,857,-,21514437,Not Applicable
HDAC1,3065,FOS,2353,-,17056544,Not Applicable
HDAC1,3065,MGMT,4255,Unknown,18555750,Not Applicable
HDAC1,3065,RGS10,6001,Unknown,24475290,Not Applicable
HDAC4,9759,PTGES,9536,Unknown,19115247,Not Applicable
HDAC4,9759,SLC2A4,6517,Unknown,23899560,Not Applicable
HDAC5,10014,FGF2,2247,-,19351956,Not Applicable
HDAC5,10014,IGF2,3481,Unknown,19666599,Not Applicable
HDAC5,10014,SLC2A4,6517,-,22991226,Not Applicable
HDAC5,10014,SLC2A4,6517,Unknown,23899560,Not Applicable
HDAC7,51564,NR4A1,3164,Unknown,15623513,Not Applicable
HDGF,3068,VEGFB,7423,+,14662017,Not Applicable
HIF1A,3091,ACE,1636,+,19592460,Not Applicable
HIF1A,3091,EGLN3,112399,Unknown,15156561,Not Applicable
HIF1A,3091,FGF2,2247,+,19492421,Not Applicable
HIF1A,3091,GCK,2645,Unknown,14612449,Not Applicable
HIF1A,3091,NR3C1,2908,Unknown,15699159,Not Applicable
HIF1A,3091,NR4A1,3164,+,14729605,Not Applicable
HIF1A,3091,PTGES,9536,+,18050215,Not Applicable
HIF1A,3091,RORA,6095,+,14742449,Not Applicable
HIF1A,3091,SDHB,6390,-,17102089,Not Applicable
HIF1A,3091,SLC29A1,2030,-,19853583,Not Applicable
HIF1A,3091,VEGFB,7423,Unknown,21731766,Not Applicable
HIVEP2,3097,HLA-A,3105,Unknown,1409593,Not Applicable
HIVEP2,3097,HLA-B,3106,Unknown,1409593,Not Applicable
HLF,3131,DBP,1628,+,9571207,Not Applicable
HMGA1,3159,CRYAB,1410,Unknown,17723105,Not Applicable
HMGN1,3150,FOS,2353,Unknown,17938209,Not Applicable
HNF4A,3172,APOA1,335,Unknown,7961760,Not Applicable
HNF4A,3172,GCK,2645,Unknown,14612449,Not Applicable
HNRNPD,3184,KLF2,10365,Unknown,15835916,Not Applicable
HOPX,84525,FOS,2353,-,19173292,Not Applicable
HOXA10,3206,IL15,3600,+,20478621,Not Applicable
HOXA10,3206,KLF9,687,-,20463357,Not Applicable
HOXA7,3204,KRT10,3858,+,11435435,Not Applicable
HOXB1,3211,TCF4,6925,-,15126340,Not Applicable
HOXB13,10481,TCF4,6925,-,15928669,Not Applicable
HOXB7,3217,FGF2,2247,+,21183939;8756643,Not Applicable
HSF2,3298,FOS,2353,Unknown,17915561,Not Applicable
IRF1,3659,HLA-A,3105,+,19428110,Not Applicable
IRF1,3659,OGN,4969,Unknown,12835654,Not Applicable
IRF9,10379,SP100,6672,+,8681971,Not Applicable
JARID2,3720,MYL7,58498,Unknown,18805276,Not Applicable
JDP2,122953,DDIT3,1649,-,18396163,Not Applicable
JUN,3725,ACTA1,58,Unknown,1460048,Not Applicable
JUN,3725,DCN,1634,-,8798756,Not Applicable
JUN,3725,DDIT3,1649,+,22622069,Not Applicable
JUN,3725,F3,2152,Unknown,11057875,Not Applicable
JUN,3725,FGF7,2252,Unknown,15840658,Not Applicable
JUN,3725,ITGB8,3696,Unknown,21878622,Not Applicable
JUN,3725,LGALS3,3958,+,16285957,Not Applicable
JUN,3725,MGMT,4255,Unknown,9731508,Not Applicable
JUN,3725,MGP,4256,Unknown,11425864,Not Applicable
