regulator,target
hsa-mir-15a-5p,VSIR
hsa-mir-15a-5p,RASSF5
hsa-mir-15a-5p,KLHL40
hsa-mir-15a-5p,AMOT
hsa-mir-15a-5p,NEGR1
hsa-mir-15a-5p,ANKRD36
hsa-mir-15a-5p,SLC35E2B
hsa-mir-16-5p,ARL2
hsa-mir-16-5p,CBFA2T3
hsa-mir-16-5p,E2F3
hsa-mir-16-5p,FASN
hsa-mir-16-5p,HMGA1
hsa-mir-16-5p,JAK2
hsa-mir-16-5p,MKI67
hsa-mir-16-5p,MLLT6
hsa-mir-16-5p,PDE4D
hsa-mir-16-5p,POLR2A
hsa-mir-16-5p,RPL13
hsa-mir-16-5p,RPL30
hsa-mir-16-5p,RPL31
hsa-mir-16-5p,RPLP1
hsa-mir-16-5p,RPS5
hsa-mir-16-5p,RPS24
hsa-mir-16-5p,TLL1
hsa-mir-16-5p,UBE2V1
hsa-mir-16-5p,WT1
hsa-mir-16-5p,HSD17B8
hsa-mir-16-5p,HMGA2
hsa-mir-16-5p,SLC7A5
hsa-mir-16-5p,UXT
hsa-mir-16-5p,RECK
hsa-mir-16-5p,TTF2
hsa-mir-16-5p,TNK1
hsa-mir-16-5p,NEMF
hsa-mir-16-5p,PPIG
hsa-mir-16-5p,MED12
hsa-mir-16-5p,ATXN2L
hsa-mir-16-5p,SETD1B
hsa-mir-16-5p,DNAJC9
hsa-mir-16-5p,HSPBP1
hsa-mir-16-5p,RPL36
hsa-mir-16-5p,EML4
hsa-mir-16-5p,TPPP3
hsa-mir-16-5p,RHOF
hsa-mir-16-5p,CCNJ
hsa-mir-16-5p,PHIP
hsa-mir-16-5p,TMEM100
hsa-mir-16-5p,FBXW7
hsa-mir-16-5p,PRR12
hsa-mir-16-5p,VSIR
hsa-mir-16-5p,XYLT1
hsa-mir-16-5p,VKORC1
hsa-mir-16-5p,RASSF5
hsa-mir-16-5p,TMEM126A
hsa-mir-16-5p,MALSU1
hsa-mir-16-5p,KLHL40
hsa-mir-16-5p,AMOT
hsa-mir-16-5p,LONRF2
hsa-mir-16-5p,ZNF384
