"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FN1",28002.4647476638,-0.214518280080801,0.0207261528273493,-10.350125364208,4.17938190945787e-25,2.50034398454814e-23
"MYL2",97184.3103648551,0.200966081117942,0.0256869917262951,7.8236518802713,5.1312581296482e-15,8.1413465361158e-14
"MT-ND4L",34315.9019203919,-0.0870527428216438,0.0222596055069625,-3.91079450147554,9.19930171623822e-05,0.000239189180588475
"TTN",72984.3282916346,0.149740982695333,0.0130600338199269,11.4655891983112,1.96418208427861e-30,1.91170617486281e-28
"COL1A2",47029.1174325209,-0.00938478522146887,0.0163614525350446,-0.573591201720481,0.566244466934825,0.631085313430523
"TNNI1",79056.1842882633,0.156773888515135,0.0215461436019597,7.2761925016074,3.43373518168012e-13,3.9913346024485e-12
"ACTN2",49447.3936195407,0.0227332559905735,0.0116908679730103,1.94453106844212,0.0518314426337621,0.0776459539202304
"GAPDH",46287.9739669588,0.0136811192355832,0.011225067172447,1.2188006561925,0.222919862400012,0.284029000138819
"NPPA",47387.8075186962,0.0871866354480895,0.0389062482310679,2.24094173589496,0.0250298493259083,0.0403238831441516
"GNAS",42404.3242511281,0.0308825081963649,0.0096707072352716,3.1934074153055,0.00140604417178909,0.00294911998849684
"COL4A2",37775.6255721902,-0.0191752621940196,0.0128712326966041,-1.48977667065866,0.136282967219855,0.184818806122631
"ATP2A2",43042.5752727429,0.0196366058016337,0.0136848782998218,1.43491270959197,0.15131197349521,0.202629711297313
"ATP5F1B",39161.1585646964,0.0188026861222438,0.0074929387730738,2.50938739681313,0.0120940767694588,0.0209832312394947
"PKM",38901.1335336041,-0.0122662821141577,0.00892662038631826,-1.37412386584267,0.169403231424808,0.223483405244016
"ACTB",31602.7959322011,-0.0145535328916933,0.0134146745468072,-1.08489645730221,0.277967517244763,0.343625816104853
"MT-ND3",71758.6412345682,0.208373418773804,0.0272585623451334,7.64432900515773,2.10037726430091e-14,3.00692868068194e-13
"HNRNPA2B1",30487.4887859005,-0.045988166116615,0.00674255422989928,-6.82058527800702,9.0670344692177e-12,8.36887923195593e-11
"ANKRD1",21887.8279610652,-0.0293057063881999,0.0247515838692663,-1.18399317566858,0.236415764242296,0.29877271291163
"SRRM2",22865.4717712375,-0.125614904410408,0.0187802282492494,-6.68867826009666,2.25195218457402e-11,1.94374324230406e-10
"ACTG1",25058.7783478143,-0.040708339619675,0.0105806343310817,-3.84743847541258,0.000119359238078,0.000303269663552167
"LDB3",36105.249611392,0.0134713669085384,0.0150271173654754,0.89647046608478,0.370001547081032,0.44028833732033
"NEBL",34891.775319747,0.0491860025436628,0.0134201034121664,3.66509862353757,0.000247243287667612,0.000595704222752816
"TGM2",25363.0202435395,-0.0623021782266976,0.0128094975678597,-4.86374878457528,1.15183088448094e-06,4.21971303241584e-06
"TPT1",45342.5245108276,0.144603190608572,0.0198361961161865,7.28986493991023,3.1026589990891e-13,3.63892793760072e-12
"RPL8",44169.2340057851,0.106677750387398,0.021809294072321,4.89138942478594,1.00126638573705e-06,3.71085996100672e-06
"VIM",37550.4365257448,0.0954037760119872,0.0194073642756577,4.91585434564397,8.83961038177099e-07,3.30901832947926e-06
"SLC8A1",29846.854431909,-0.00670842250464807,0.0171960124556504,-0.390115006135842,0.696451506930834,0.748704224024157
"FLNA",21712.1508447686,-0.088542328472439,0.0169472954667824,-5.22456982271811,1.74560450367469e-07,7.55974441679485e-07
