ID,Accession,Target,TargetID,Experiment,Literature,Tissue
E2F1,1869,MAP1LC3A,84557,+,18408756,Not Applicable
E2F1,1869,MDM2,4193,-,20837136,Not Applicable
E2F1,1869,SIVA1,10572,+,15105421,Not Applicable
E2F1,1869,SIVA1,10572,+,15105421,Not Applicable
E2F1,1869,TOP2A,7153,+,11313881,Not Applicable
E2F1,1869,ZNF350,59348,Unknown,22768064,Not Applicable
E2F4,1874,DIRAS3,9077,-,16158053;16638845;16757345;17230502,Not Applicable
EGR1,1958,NFKB1,4790,Unknown,10671503,Not Applicable
EGR1,1958,TNFSF10,8743,-,17932312,Not Applicable
EIF2AK2,5610,IRS2,8660,Unknown,20685959,Not Applicable
ELF4,2000,MDM2,4193,Unknown,23393136,Not Applicable
ELK1,2002,DAP3,7818,Unknown,19536094,Not Applicable
ELK1,2002,FOS,2353,Unknown,11313879;11846562;20682780,Not Applicable
ELK1,2002,ZFP36,7538,Unknown,22433566,Not Applicable
ELK4,2005,FOS,2353,+,9734357,Not Applicable
ELK4,2005,FOS,2353,Unknown,11846562,Not Applicable
ELL,8178,MDM2,4193,-,15851483,Not Applicable
EP300,2033,GFAP,2670,+,20414733,Not Applicable
EP300,2033,LAMA3,3909,-,10713141,Not Applicable
EP300,2033,MDM2,4193,Unknown,11591713,Not Applicable
EP300,2033,MGMT,4255,Unknown,22675172,Not Applicable
EP300,2033,NFKB1,4790,Unknown,9560267,Not Applicable
EP300,2033,YY1,7528,Unknown,11486036,Not Applicable
ERCC2,2068,XPA,7507,Unknown,24953096,Not Applicable
ERG,2078,ICAM1,3383,-,22235125,Not Applicable
ERG,2078,SOX4,6659,Unknown,24435928,Not Applicable
ERG,2078,VWF,7450,+,22235125,Not Applicable
ERG,2078,VWF,7450,Unknown,19359602;9444957,Not Applicable
ESR1,2099,ABCG2,9429,Unknown,10342828,Not Applicable
ESR1,2099,FOS,2353,Unknown,10037443,Not Applicable
ESR1,2099,FOXP1,27086,+,21901488,Not Applicable
ESR1,2099,MDM2,4193,Unknown,12897156,Not Applicable
ESR2,2100,FOS,2353,Unknown,10037443,Not Applicable
ESRRA,2101,DAP3,7818,Unknown,19536094,Not Applicable
ESRRA,2101,NR2F6,2063,-,15955695,Not Applicable
ETS1,2113,ANGPT2,285,+,15003510,Not Applicable
ETS1,2113,F13A1,2162,Unknown,10037697,Not Applicable
ETS1,2113,MDM2,4193,-,11424091,Not Applicable
ETS1,2113,NDRG1,10397,-,18381358,Not Applicable
ETS1,2113,SQSTM1,8878,Unknown,9762895,Not Applicable
ETS1,2113,VWF,7450,Unknown,9444957,Not Applicable
ETS2,2114,ANGPT2,285,+,15003510,Not Applicable
ETS2,2114,ICAM1,3383,+,9572487,Not Applicable
ETS2,2114,MDM2,4193,+,12750288,Not Applicable
ETS2,2114,VWF,7450,Unknown,9444957,Not Applicable
ETV3,2117,NFKB1,4790,-,18025162,Not Applicable
ETV5,2119,ICAM1,3383,+,9572487,Not Applicable
ETV6,2120,BBC3,27113,+,16828711,Not Applicable
EZH2,2146,ADRB2,154,-,17996646,Not Applicable
FHL2,2274,NFKB1,4790,Unknown,18752053,Not Applicable
FLI1,2313,ITGA2B,3674,Unknown,15466856,Not Applicable
FOS,2353,BCL2L1,598,Unknown,16911523,Not Applicable
FOS,2353,CLU,1191,-,10406964,Not Applicable
FOS,2353,CREM,1390,+,21757709,Not Applicable
FOS,2353,FMO4,2329,+,20188076,Not Applicable
FOS,2353,FOS,2353,-,2498646,Not Applicable
FOS,2353,GSTP1,2950,Unknown,8206948,Not Applicable
FOS,2353,MELTF,4241,Unknown,8836133,Not Applicable
FOS,2353,NFKB1,4790,-,20188076,Not Applicable
FOS,2353,NOS2,4843,+,12788789,Not Applicable
FOS,2353,NOS2,4843,-,9776360,Not Applicable
FOS,2353,NPPA,4878,Unknown,1530876,Not Applicable
FOS,2353,PCK2,5106,Unknown,1325459,Not Applicable
FOS,2353,SMAD4,4089,Unknown,11854297,Not Applicable
FOS,2353,SPI1,6688,-,9988737,Not Applicable
FOSL1,8061,CLU,1191,Unknown,10406964,Not Applicable
FOSL1,8061,ITGAV,3685,-,23319049,Not Applicable
FOSL2,2355,CLU,1191,Unknown,10406964,Not Applicable
FOSL2,2355,MDM2,4193,+,22493372,Not Applicable
FOSL2,2355,NOS2,4843,+,12788789,Not Applicable
FOXA1,3169,CCNG2,901,Unknown,22596188,Not Applicable
FOXA2,3170,GFER,2671,Unknown,20382118,Not Applicable
FOXC2,2303,ANGPT2,285,Unknown,20213583,Not Applicable
FOXD3,27022,NDRG1,10397,+,24269992,Not Applicable
FOXD3,27022,RND3,390,Unknown,21478267,Not Applicable
FOXE1,2304,MSX1,4487,+,21177256,Not Applicable
FOXF2,2295,PDGFA,5154,-,19562724,Not Applicable
FOXM1,2305,APOE,348,Unknown,11229886,Not Applicable
FOXO1,2308,ANGPT2,285,Unknown,20213583,Not Applicable
FOXO1,2308,IRS2,8660,Unknown,20685959,Not Applicable
FOXO1,2308,NLK,51701,Unknown,23144700,Not Applicable
FOXO1,2308,PDGFA,5154,Unknown,19244250,Not Applicable
FOXO1,2308,TNFSF10,8743,+,23630076,Not Applicable
FOXO3,2309,BBC3,27113,Unknown,21654193,Not Applicable
FOXO3,2309,GALT,2592,+,17975019,Not Applicable
FOXO3,2309,TNFSF10,8743,+,23630076,Not Applicable
FOXO4,4303,TNFSF10,8743,+,23630076,Not Applicable
FOXP1,27086,HIP1R,9026,Unknown,23884370,Not Applicable
FUS,2521,MDM2,4193,-,17234782,Not Applicable
GABPA,2551,RPS3A,6189,Unknown,12463423,Not Applicable
GABPB2,126626,RPS3A,6189,Unknown,12463423,Not Applicable
GATA1,2623,AGGF1,55109,+,19556247,Not Applicable
GATA1,2623,BST2,684,+,16249385,Not Applicable
GATA1,2623,F13A1,2162,Unknown,10037697,Not Applicable
GATA1,2623,GNAS,2778,Unknown,11418466,Not Applicable
GATA1,2623,ITGA2B,3674,Unknown,8408012,Not Applicable
GATA1,2623,SPI1,6688,-,10753833,Not Applicable
GATA2,2624,ANGPT2,285,Unknown,22792348,Not Applicable
GATA2,2624,SPI1,6688,-,19620289,Not Applicable
GATA3,2625,NFKB1,4790,Unknown,19686049,Not Applicable
GATA3,2625,TGFBR3,7049,Unknown,24124001,Not Applicable
GATA4,2626,HDAC9,9734,-,18332107,Not Applicable
GATA4,2626,NPPA,4878,+,14573514,Not Applicable
GATA5,140628,SLC5A1,6523,Unknown,18656622,Not Applicable
GATA6,2627,VWF,7450,Unknown,12511565,Not Applicable
GLI1,2735,SMAD4,4089,Unknown,24739390,Not Applicable
GLI2,2736,FOXL1,2300,Unknown,19360354,Not Applicable
GTF3A,2971,BAG3,9531,+,19282432,Not Applicable
HAND2,9464,NPPA,4878,+,12392994,Not Applicable
HCFC1,3054,MMACHC,25974,Unknown,24011988,Not Applicable
HDAC1,3065,CD44,960,-,18372343,Not Applicable
HDAC1,3065,FOS,2353,-,17056544,Not Applicable
HDAC1,3065,ICAM1,3383,+,12490396,Not Applicable
HDAC1,3065,KLF4,9314,-,15051827,Not Applicable
HDAC1,3065,MGMT,4255,Unknown,18555750,Not Applicable
HDAC1,3065,NFKB1,4790,Unknown,24448807,Not Applicable
HDAC1,3065,PHB,5245,-,21152868,Not Applicable
HDAC1,3065,PSIP1,11168,Unknown,23386123,Not Applicable
HDAC2,3066,KLF4,9314,-,19486889,Not Applicable
HDAC2,3066,PHB,5245,-,21152868,Not Applicable
HDAC2,3066,TNFSF10,8743,-,23630076,Not Applicable
HDAC3,8841,PCK2,5106,Unknown,17456789,Not Applicable
HDAC4,9759,KLF4,9314,Unknown,21118993,Not Applicable
HDAC4,9759,SMAD4,4089,Unknown,23817620,Not Applicable
HDAC5,10014,YY1,7528,+,18632988,Not Applicable
HDAC7,51564,AKAP12,9590,-,22584896,Not Applicable
HDAC9,9734,DIRAS3,9077,-,16158053,Not Applicable
HDAC9,9734,NFKB1,4790,-,15964798,Not Applicable
HIF1A,3091,PPARA,5465,Unknown,14521756,Not Applicable
HIF1A,3091,TFRC,7037,Unknown,10446187;10446188,Not Applicable
HIF1A,3091,TWIST2,117581,Unknown,21931630,Not Applicable
HIF3A,64344,EPAS1,2034,Unknown,19755485,Not Applicable
HIVEP2,3097,HLA-A,3105,Unknown,1409593,Not Applicable
HMGA1,3159,CD44,960,+,15901130,Not Applicable
HMGA1,3159,XPA,7507,-,17616660,Not Applicable
HMGN1,3150,FOS,2353,Unknown,17938209,Not Applicable
HNF1A,6927,GPR39,2863,Unknown,17488974,Not Applicable
HNF4A,3172,GFER,2671,-,18513187,Not Applicable
HNF4A,3172,GPR39,2863,Unknown,17488974,Not Applicable
HNF4A,3172,PPARA,5465,Unknown,11981036,Not Applicable
HOPX,84525,FOS,2353,-,19173292,Not Applicable
HOXA1,3198,EPAS1,2034,Unknown,17213808,Not Applicable
HOXA10,3206,KLF9,687,-,20463357,Not Applicable
HOXA9,3205,NFKB1,4790,-,18068911,Not Applicable
HOXB4,3214,PROM1,8842,Unknown,15735039,Not Applicable
HOXB7,3217,PDGFA,5154,+,21183939,Not Applicable
HOXC13,3229,SPI1,6688,-,18076876,Not Applicable
HOXD3,3232,ITGAV,3685,Unknown,14610084,Not Applicable
HSF1,3297,BAG3,9531,-,19006120,Not Applicable
HSF1,3297,BAG3,9531,Unknown,20692357,Not Applicable
HSF1,3297,NFKB1,4790,Unknown,18689673,Not Applicable
HSF1,3297,UBB,7314,Unknown,20692357,Not Applicable
HSF2,3298,FOS,2353,Unknown,17915561,Not Applicable
IFI16,3428,ICAM1,3383,-,17699163,Not Applicable
IKBKB,3551,CD44,960,-,18600306,Not Applicable
IKBKB,3551,NOS2,4843,-,17478759,Not Applicable
IRF1,3659,DDX58,23586,+,22391244,Not Applicable
IRF1,3659,HLA-A,3105,+,19428110,Not Applicable
IRF1,3659,IFIT3,3437,+,21056555,Not Applicable
IRF1,3659,IRF2,3660,+,9054665,Not Applicable
IRF1,3659,TNFSF10,8743,+,21858676,Not Applicable
IRF2,3660,IFNGR1,3459,-,18281489,Not Applicable
IRF4,3662,IRF3,3661,-,19955181,Not Applicable
IRF9,10379,IFIT3,3437,Unknown,19351818;20403236,Not Applicable
JARID2,3720,MYL7,58498,Unknown,18805276,Not Applicable
JARID2,3720,NPPA,4878,Unknown,18805276,Not Applicable
JUN,3725,BCL2L1,598,Unknown,16911523,Not Applicable
JUN,3725,BEX2,84707,+,21384344,Not Applicable
JUN,3725,CA2,760,Unknown,11382925,Not Applicable
JUN,3725,CREM,1390,+,21757709,Not Applicable
JUN,3725,CYP2J2,1573,Unknown,12737630;16008525,Not Applicable
JUN,3725,GSTP1,2950,Unknown,8206948,Not Applicable
JUN,3725,MAP3K1,4214,Unknown,9710625,Not Applicable
JUN,3725,MELTF,4241,Unknown,8836133,Not Applicable
JUN,3725,MGMT,4255,Unknown,9731508,Not Applicable
JUN,3725,MGP,4256,Unknown,11425864,Not Applicable
JUN,3725,NAMPT,10135,+,16701870,Not Applicable
JUN,3725,NOS2,4843,+,12788789,Not Applicable
JUN,3725,NOS2,4843,-,9776360,Not Applicable
JUN,3725,NOS2,4843,Unknown,14962367,Not Applicable
JUN,3725,PCK2,5106,Unknown,1325459,Not Applicable
JUN,3725,POLD2,5425,Unknown,10978529,Not Applicable
JUN,3725,PPARA,5465,Unknown,10542237,Not Applicable
JUN,3725,SPI1,6688,+,9988737,Not Applicable
JUNB,3726,CLU,1191,Unknown,10406964,Not Applicable
JUNB,3726,SMAD4,4089,Unknown,11854297,Not Applicable
JUND,3727,CLU,1191,Unknown,10406964,Not Applicable
JUND,3727,ITGAV,3685,-,23319049,Not Applicable
JUND,3727,MDM2,4193,+,22493372,Not Applicable
JUND,3727,MDM2,4193,-,18071306,Not Applicable
JUND,3727,NOS2,4843,+,12788789,Not Applicable
JUND,3727,SOX4,6659,+,23482931,Not Applicable
KAT2B,8850,NPAS2,4862,Unknown,14645221,Not Applicable
KAT2B,8850,SMAD4,4089,+,19525977,Not Applicable
KAT2B,8850,YY1,7528,Unknown,11486036,Not Applicable
KAT5,10524,ERCC1,2067,+,22159227,Not Applicable
KLF4,9314,IFITM3,10410,-,21531817,Not Applicable
KLF4,9314,LAMA3,3909,+,11551969,Not Applicable
KLF4,9314,PFKP,5214,+,21586797,Not Applicable
KLF6,1316,DAPK2,23604,+,18521079,Not Applicable
KLF6,1316,LTC4S,4056,Unknown,10722737,Not Applicable
KLF6,1316,NOS2,4843,+,12590140,Not Applicable
KLF6,1316,NOS2,4843,Unknown,23831683,Not Applicable
LMO2,4005,ANGPT2,285,Unknown,22792348,Not Applicable
LMO3,55885,HES1,3280,-,21573214,Not Applicable
LYL1,4066,ANGPT2,285,Unknown,22792348,Not Applicable
LYL1,4066,NFKB1,4790,-,10023675,Not Applicable
MAZ,4150,HRAS,3265,+,21931711,Not Applicable
MBD1,4152,MGMT,4255,-,15657354,Not Applicable
MBD2,8932,CHD4,1108,Unknown,23071088,Not Applicable
MBD2,8932,GSTP1,2950,-,11960994;12543808;19856314,Not Applicable
MBD2,8932,GSTP1,2950,Unknown,11406558,Not Applicable
MECP2,4204,MGMT,4255,Unknown,15657354,Not Applicable
MEF2A,4205,COX6A1,1337,Unknown,18222924,Not Applicable
MEF2A,4205,PPARGC1A,10891,Unknown,18222924,Not Applicable
MEIS2,4212,IL17RB,55540,Unknown,25043012,Not Applicable
MEN1,4221,JUND,3727,-,22327296,Not Applicable
MITF,4286,FOS,2353,+,14737107,Not Applicable
MITF,4286,PPARGC1A,10891,+,23416000,Not Applicable
MKL1,395,SCAI,286205,Unknown,19625774,Not Applicable
MLLT10,8028,MDM2,4193,-,15851483,Not Applicable
MLLT3,4300,MDM2,4193,-,15851483,Not Applicable
MSX2,4488,ABCG2,9429,Unknown,21465479,Not Applicable
MTA1,9112,BCL2L1,598,+,11948399,Not Applicable
MTA1,9112,NOS2,4843,+,20022949,Not Applicable
MTF1,4520,MCAT,27349,+,15378601,Not Applicable
MYB,4602,ICAM1,3383,-,21953443,Not Applicable
MYB,4602,SIM2,6493,Unknown,11404025,Not Applicable
MYC,4609,PROM1,8842,Unknown,22945648,Not Applicable
MYC,4609,CDC34,997,+,21252116,Not Applicable
MYC,4609,DDX18,8886,Unknown,8861962,Not Applicable
MYC,4609,HLA-A,3105,+,8206526,Not Applicable
MYC,4609,MTDH,92140,Unknown,17088530,Not Applicable
MYC,4609,NDRG1,10397,-,11936845,Not Applicable
MYC,4609,NDRG1,10397,Unknown,21976667,Not Applicable
MYC,4609,SURF2,6835,+,10858544,Not Applicable
MYC,4609,TFRC,7037,+,16466700,Not Applicable
MYCN,4613,CD44,960,+,19885598,Not Applicable
MYCN,4613,CLU,1191,-,23362253,Not Applicable
MYCN,4613,HLA-A,3105,Unknown,8895520,Not Applicable
MYCN,4613,MDM2,4193,Unknown,15644444;15927364,Not Applicable
MYCN,4613,MXI1,4601,-,24403858,Not Applicable
MYCN,4613,NDRG1,10397,+,19322780,Not Applicable
MYCN,4613,NDRG1,10397,-,11936845,Not Applicable
MYCN,4613,NDRG1,10397,Unknown,14734473;23554972,Not Applicable
NCOA6,23054,FOS,2353,+,19329434,Not Applicable
NCOR2,9612,PCK2,5106,Unknown,17456789,Not Applicable
NF1,4763,FOS,2353,+,9562250,Not Applicable
NF1,4763,GNRH1,2796,Unknown,15319450,Not Applicable
NFATC1,4772,ICAM1,3383,+,19351910,Not Applicable
NFATC2,4773,MDM2,4193,+,22787160,Not Applicable
NFIA,4774,PCK2,5106,Unknown,10085123,Not Applicable
NFIC,4782,ALAS1,211,Unknown,15123725,Not Applicable
NFIC,4782,GFAP,2670,Unknown,19540848,Not Applicable
NFIC,4782,IRS2,8660,+,19755487,Not Applicable
NFIC,4782,POLD2,5425,Unknown,10978529,Not Applicable
NFIC,4782,VWF,7450,Unknown,11895773,Not Applicable
NFIL3,4783,TNFSF10,8743,-,23630076,Not Applicable
NFIL3,4783,VWF,7450,Unknown,15498853,Not Applicable
