"","logFC","pvalue","padj","piValue","rank"
"ACSS1",0.199302807077894,1.63167923483575e-38,3.66902768633239e-36,35.4354490110633,22
"ILVBL",0.177732534938995,2.51308510470104e-38,5.46260932258517e-36,35.262599858448,23
"LURAP1L",0.235289580524004,4.5034507215406e-38,9.3228578270369e-36,35.0304509386907,24
"AIG1",0.108707662457093,8.10617116073809e-38,1.62647206582071e-35,34.788753391198,25
"RD3L",0.386515811052671,1.78525795539636e-37,3.52777791731506e-35,34.4524987626333,26
"C1QL1",0.331737840593055,2.82444307899491e-37,5.33860675887705e-35,34.2725720680425,27
"MGLL",0.30117970296517,8.48537941986204e-37,1.53874464801072e-34,33.8128334446006,28
"PIP5K1B",0.207453795407209,2.20828141535042e-36,3.78952713407897e-34,33.4214149789165,29
"LRRN4CL",0.260404207486263,3.46464466576963e-36,5.82315928051096e-34,33.2348413304998,30
"KBTBD13",0.240931615871527,3.48264394939315e-36,5.82315928051096e-34,33.2348413304998,31
"PHYH",0.197600060451579,4.33888185277353e-36,7.07346214048406e-34,33.1503679666163,32
"FAM53B",0.126617162982536,5.52134695986877e-36,8.89005025316155e-34,33.0510957840681,33
"KCNAB1",0.222690595270497,1.28831470208087e-35,2.04904882250472e-33,32.6884476935794,34
"LRRC14B",0.28910146253548,4.67601739469342e-35,7.09123475134786e-33,32.1492781373123,35
"DTNA",0.109044867351593,6.81281841527411e-35,9.98345817662977e-33,32.0007189971013,36
"RGCC",0.259616023082177,1.42120202760472e-34,2.05947964933564e-32,31.6862424951496,37
"MPC1",0.171380223050057,2.15961814043931e-34,3.06149345517494e-32,31.5140666646569,38
"CDKN2C",0.217303873057161,3.23587650504669e-34,4.53788186869021e-32,31.3431468139698,39
"ASAH1",0.123344157877747,3.57135784835839e-34,4.95506904875427e-32,31.3049502892546,40
"CDC42EP3",0.12110816167652,2.25595083180658e-33,2.85651560664285e-31,30.5441633988184,41
"SGCG",0.362704610942101,4.27019305395262e-33,5.35498632785096e-31,30.271241633655,42
"DECR1",0.172666941139381,6.63334861982066e-33,8.23925073330486e-31,30.0841122806799,43
"SH3RF2",0.281501298187725,1.54573051375837e-32,1.84948783123272e-30,29.7329485217943,44
"TLL2",0.359825586751783,3.13719549663462e-32,3.68606339343322e-30,29.4334371999955,45
"PDE1C",0.234509790060131,7.25747980767412e-32,8.12939716217319e-30,29.0899416584464,46
"PACRG",0.216095208037515,7.29289578265806e-32,8.12939716217319e-30,29.0899416584464,47
"EGLN3",0.244103358438476,9.11593086357523e-32,1.00382834617855e-29,28.9983405448413,48
"COQ10A",0.126179654638851,9.15929866548437e-32,1.00382834617855e-29,28.9983405448413,49
"RASL12",0.172185474498151,1.32132896231813e-31,1.43606436054609e-29,28.8428260957458,50
"NTN4",0.258482299221124,1.36683746544616e-31,1.47324745655775e-29,28.8317243000064,51
"LARP6",0.101360116753013,2.0976541209853e-31,2.24242664310576e-29,28.6492817552027,52
"PPP1R1C",0.285688337063514,2.76138601127468e-31,2.92796718366214e-29,28.5334337951117,53
"C14orf180",0.197821396519616,5.24431712313855e-31,5.34346749374789e-29,28.2721768282365,54
"RETREG1",0.221197069163193,7.0312343104717e-31,7.10863239357922e-29,28.148213943722,55
"DCUN1D2",0.103679694528855,1.3578707867704e-30,1.35185883977554e-28,27.8690686547754,56
"AC126468.1",0.338094487646502,1.6108933000828e-30,1.57964439245713e-28,27.8014406698657,57
"TTN",0.149740982695333,1.96418208427861e-30,1.91170617486281e-28,27.7185788570608,58
"LRRC2",0.222448254577998,5.05201051898498e-30,4.84472949916192e-28,27.3147304663533,59
"RDH14",0.127925518906857,6.43706348026765e-30,6.08349144272831e-28,27.215847098506,60
"SMIM5",0.214306654034333,7.45165342022418e-30,6.99168805083193e-28,27.1554179569218,61
"FRMD5",0.11574994467978,8.34234581553628e-30,7.77149100901601e-28,27.1094956511004,62
"PER3",0.203679227485411,1.0125740970441e-29,9.17082734281191e-28,27.0375914828458,63
"TCIM",0.269365920181582,1.47419062641405e-29,1.31687631162274e-27,26.8804550144857,64
"COQ2",0.127134749031948,1.74569729929185e-29,1.52801236089693e-27,26.8158731325093,65
"NRN1",0.272885750560157,4.02888391486094e-29,3.41199376737768e-27,26.466991770821,66
"DBI",0.237355799974709,4.6494584559862e-29,3.91214433438529e-27,26.407585130758,67
"GPX3",0.247247533914306,5.32180927871327e-29,4.42083035751456e-27,26.3544961501493,68
"TSPO",0.349324851177597,6.14216813150969e-29,5.07000992222465e-27,26.2949911907331,69
"CLDN5",0.251123476417382,6.64523738380955e-29,5.45076641255624e-27,26.2635424288532,70
"KCNJ8",0.162089171271571,1.87015037752453e-28,1.49634976832362e-26,25.824966879267,71
"TCF15",0.322790780120302,6.09894689229952e-28,4.79171478128737e-26,25.3195090404934,72
"TENT5A",0.19535826809066,6.48256239489974e-28,5.03247492585014e-26,25.2982183802927,73
"FGF12",0.161664259809811,8.19203328267481e-28,6.28473518074382e-26,25.2017130174155,74
"NLGN1",0.196908987371186,1.12537035831335e-27,8.43510357076017e-26,25.0739095805398,75
"ST3GAL4",0.12907761038599,1.14601408883505e-27,8.5407518551924e-26,25.0685038960337,76
"KBTBD12",0.276697979402115,1.61041446546953e-27,1.16683474770298e-25,24.9329906463047,77
"CSRP3",0.186594725466126,2.01442030175216e-27,1.45149555665479e-25,24.8381842893006,78
"ASB15",0.198773137340892,2.60203557953971e-27,1.85441246056595e-25,24.731793663166,79
"SP100",0.137806914185844,3.43486580398157e-27,2.42148755759609e-25,24.6159177581604,80
"RBP7",0.44709812700831,3.89331634925327e-27,2.72992644230974e-25,24.5638490548381,81
